33.950327,  -83.380366
Cole Madray
Stephanie Petros
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-5 21:55:05, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-5 22:05:06, 683.59, 18.36, 65.05, 0.07, 0.03
2015-11-5 22:15:07, 673.83, 17.38, 63.29, 0.00, 0.03
2015-11-5 22:25:08, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-5 22:35:09, 683.59, 18.36, 65.05, 0.03, 0.03
2015-11-5 22:45:10, 678.71, 17.87, 64.17, 0.01, 0.03
2015-11-5 22:55:10, 678.71, 17.87, 64.17, 0.01, 0.02
2015-11-5 23:05:11, 683.59, 18.36, 65.05, 0.01, 0.02
2015-11-5 23:15:12, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-5 23:25:13, 678.71, 17.87, 64.17, 0.01, 0.02
2015-11-5 23:35:14, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-5 23:45:15, 688.48, 18.85, 65.93, 0.01, 0.02
2015-11-5 23:55:16, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 0:05:17, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 0:15:17, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-6 0:25:18, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-6 0:35:19, 688.48, 18.85, 65.93, 0.01, 0.01
2015-11-6 0:45:20, 683.59, 18.36, 65.05, 0.06, 0.02
2015-11-6 0:55:21, 683.59, 18.36, 65.05, 0.03, 0.02
2015-11-6 1:05:22, 683.59, 18.36, 65.05, 0.03, 0.02
2015-11-6 1:15:23, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-6 1:25:24, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-6 1:35:25, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-6 1:45:26, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-6 1:55:27, 678.71, 17.87, 64.17, 0.02, 0.01
2015-11-6 2:05:28, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-6 2:15:28, 673.83, 17.38, 63.29, 0.01, 0.01
2015-11-6 2:25:28, 673.83, 17.38, 63.29, 0.00, 0.01
2015-11-6 2:35:30, 673.83, 17.38, 63.29, 0.04, 0.01
2015-11-6 2:45:31, 673.83, 17.38, 63.29, 0.01, 0.01
2015-11-6 2:55:32, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 3:05:32, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-6 3:15:33, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 3:25:34, 678.71, 17.87, 64.17, 0.00, 0.01
2015-11-6 3:35:35, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 3:45:36, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 3:55:37, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 4:05:38, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-6 4:15:39, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-6 4:25:40, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-6 4:35:41, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-6 4:45:42, 688.48, 18.85, 65.93, 0.00, 0.00
2015-11-6 4:55:43, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-6 5:05:44, 683.59, 18.36, 65.05, 0.04, 0.01
2015-11-6 5:15:44, 688.48, 18.85, 65.93, 0.00, 0.01
2015-11-6 5:25:45, 683.59, 18.36, 65.05, 0.01, 0.01
2015-11-6 5:35:46, 683.59, 18.36, 65.05, 0.00, 0.01
2015-11-6 5:45:47, 683.59, 18.36, 65.05, 0.00, 0.00
2015-11-6 5:55:48, 688.48, 18.85, 65.93, 0.01, 0.01
2015-11-6 6:05:48, 693.36, 19.34, 66.80, 0.00, 0.01
2015-11-6 6:15:49, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-6 6:25:50, 693.36, 19.34, 66.80, 0.00, 0.00
2015-11-6 6:35:51, 683.59, 18.36, 65.05, 0.00, 0.00
