34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-7 5:31:26, 683.59, 18.36, 65.05, 0.02, 0.05
2015-11-7 5:41:27, 683.59, 18.36, 65.05, 0.04, 0.05
2015-11-7 5:51:28, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-7 6:101:29, 683.59, 18.36, 65.05, 0.04, 0.04
2015-11-7 6:11:30, 678.71, 17.87, 64.17, 0.03, 0.04
2015-11-7 6:21:31, 673.83, 17.38, 63.29, 0.03, 0.04
2015-11-7 6:31:32, 673.83, 17.38, 63.29, 0.03, 0.04
2015-11-7 6:41:34, 668.95, 16.89, 62.41, 0.01, 0.04
2015-11-7 6:51:35, 668.95, 16.89, 62.41, 0.02, 0.04
2015-11-7 7:101:37, 664.06, 16.41, 61.53, 0.00, 0.03
2015-11-7 7:11:38, 664.06, 16.41, 61.53, 0.00, 0.03
2015-11-7 7:21:40, 664.06, 16.41, 61.53, 0.00, 0.03
2015-11-7 7:31:41, 659.18, 15.92, 60.65, 0.00, 0.02
2015-11-7 7:41:42, 664.06, 16.41, 61.53, 0.03, 0.02
2015-11-7 7:51:43, 659.18, 15.92, 60.65, 0.04, 0.03
2015-11-7 8:101:44, 659.18, 15.92, 60.65, 0.03, 0.03
2015-11-7 8:11:45, 659.18, 15.92, 60.65, 0.03, 0.03
2015-11-7 8:21:46, 664.06, 16.41, 61.53, 0.09, 0.03
2015-11-7 8:31:47, 664.06, 16.41, 61.53, 0.04, 0.03
2015-11-7 8:41:48, 659.18, 15.92, 60.65, 0.11, 0.04
2015-11-7 8:51:50, 664.06, 16.41, 61.53, 0.00, 0.04
2015-11-7 9:101:51, 664.06, 16.41, 61.53, 0.04, 0.04
2015-11-7 9:11:53, 664.06, 16.41, 61.53, 0.00, 0.03
2015-11-7 9:21:54, 668.95, 16.89, 62.41, 0.02, 0.03
2015-11-7 9:31:55, 673.83, 17.38, 63.29, 0.00, 0.03
2015-11-7 9:41:57, 678.71, 17.87, 64.17, 0.04, 0.03
2015-11-7 9:51:58, 678.71, 17.87, 64.17, 0.00, 0.03
2015-11-7 10:202:00, 673.83, 17.38, 63.29, 0.00, 0.02
2015-11-7 10:12:00, 668.95, 16.89, 62.41, 0.05, 0.03
2015-11-7 10:22:02, 673.83, 17.38, 63.29, 0.03, 0.03
2015-11-7 10:32:04, 668.95, 16.89, 62.41, 0.00, 0.02
2015-11-7 10:42:05, 673.83, 17.38, 63.29, 0.00, 0.02
2015-11-7 10:52:06, 678.71, 17.87, 64.17, 0.03, 0.02
2015-11-7 11:202:08, 673.83, 17.38, 63.29, 0.00, 0.02
2015-11-7 11:12:09, 673.83, 17.38, 63.29, 0.03, 0.02
2015-11-7 11:22:10, 683.59, 18.36, 65.05, 0.03, 0.02
2015-11-7 11:32:11, 683.59, 18.36, 65.05, 0.00, 0.02
2015-11-7 11:42:13, 678.71, 17.87, 64.17, 0.00, 0.02
2015-11-7 11:52:14, 688.48, 18.85, 65.93, 0.05, 0.02
2015-11-7 12:202:15, 688.48, 18.85, 65.93, 0.04, 0.02
2015-11-7 12:12:17, 688.48, 18.85, 65.93, 0.00, 0.02
