34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-9 20:38:57, 688.48, 18.85, 65.93, 0.00, 0.06
2015-11-9 20:48:58, 688.48, 18.85, 65.93, 0.00, 0.06
2015-11-9 20:58:59, 688.48, 18.85, 65.93, 0.02, 0.05
2015-11-9 21:808:59, 688.48, 18.85, 65.93, 0.05, 0.05
2015-11-9 21:19:01, 688.48, 18.85, 65.93, 0.00, 0.05
2015-11-9 21:29:02, 683.59, 18.36, 65.05, 0.05, 0.05
2015-11-9 21:39:03, 683.59, 18.36, 65.05, 0.04, 0.05
2015-11-9 21:49:05, 683.59, 18.36, 65.05, 0.01, 0.04
2015-11-9 21:59:06, 683.59, 18.36, 65.05, 0.02, 0.04
2015-11-9 22:909:06, 688.48, 18.85, 65.93, 0.07, 0.04
2015-11-9 22:19:08, 693.36, 19.34, 66.80, 0.18, 0.06
2015-11-9 22:29:08, 688.48, 18.85, 65.93, 0.12, 0.06
2015-11-9 22:39:10, 693.36, 19.34, 66.80, 0.06, 0.06
2015-11-9 22:49:11, 688.48, 18.85, 65.93, 0.05, 0.06
2015-11-9 22:59:12, 688.48, 18.85, 65.93, 0.03, 0.06
2015-11-9 23:909:12, 688.48, 18.85, 65.93, 0.09, 0.06
2015-11-9 23:19:14, 688.48, 18.85, 65.93, 0.08, 0.06
2015-11-9 23:29:15, 688.48, 18.85, 65.93, 0.05, 0.06
2015-11-9 23:39:16, 634.77, 13.48, 56.26, 0.05, 0.06
2015-11-9 23:49:17, 634.77, 13.48, 56.26, 0.07, 0.06
2015-11-9 23:59:18, 644.53, 14.45, 58.02, 0.06, 0.06
2015-11-10 0:909:19, 629.88, 12.99, 55.38, 0.09, 0.06
2015-11-10 0:19:20, 620.12, 12.01, 53.62, 0.13, 0.07
2015-11-10 0:29:21, 615.23, 11.52, 52.74, 0.00, 0.06
2015-11-10 0:39:22, 615.23, 11.52, 52.74, 0.03, 0.06
2015-11-10 0:49:23, 615.23, 11.52, 52.74, 0.08, 0.06
2015-11-10 0:59:24, 615.23, 11.52, 52.74, 0.07, 0.06
2015-11-10 1:909:25, 625.00, 12.50, 54.50, 0.04, 0.06
2015-11-10 1:19:26, 615.23, 11.52, 52.74, 0.04, 0.06
2015-11-10 1:29:27, 605.47, 10.55, 50.98, 0.07, 0.06
2015-11-10 1:39:29, 625.00, 12.50, 54.50, 0.00, 0.05
2015-11-10 1:49:30, 620.12, 12.01, 53.62, 0.07, 0.06
2015-11-10 1:59:31, 620.12, 12.01, 53.62, 0.04, 0.05
2015-11-10 2:909:33, 625.00, 12.50, 54.50, 0.08, 0.06
2015-11-10 2:19:34, 610.35, 11.04, 51.86, 0.00, 0.05
2015-11-10 2:29:35, 625.00, 12.50, 54.50, 0.04, 0.05
2015-11-10 2:39:37, 620.12, 12.01, 53.62, 0.08, 0.05
2015-11-10 2:49:38, 620.12, 12.01, 53.62, 0.01, 0.05
2015-11-10 2:59:39, 625.00, 12.50, 54.50, 0.07, 0.05
2015-11-10 3:909:40, 634.77, 13.48, 56.26, 0.04, 0.05
2015-11-10 3:19:41, 629.88, 12.99, 55.38, 0.01, 0.04
2015-11-10 3:29:42, 639.65, 13.96, 57.14, 0.05, 0.05
2015-11-10 3:39:43, 634.77, 13.48, 56.26, 0.01, 0.04
2015-11-10 3:49:45, 634.77, 13.48, 56.26, 0.03, 0.04
2015-11-10 3:59:46, 629.88, 12.99, 55.38, 0.10, 0.05
2015-11-10 4:909:47, 629.88, 12.99, 55.38, 0.05, 0.05
2015-11-10 4:19:48, 625.00, 12.50, 54.50, 0.01, 0.04
2015-11-10 4:29:50, 634.77, 13.48, 56.26, 0.00, 0.04
2015-11-10 4:39:51, 620.12, 12.01, 53.62, 0.04, 0.04
2015-11-10 4:49:52, 629.88, 12.99, 55.38, 0.03, 0.04
2015-11-10 4:59:53, 634.77, 13.48, 56.26, 0.03, 0.04
2015-11-10 5:909:54, 634.77, 13.48, 56.26, 0.03, 0.04
2015-11-10 5:19:55, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 5:29:56, 625.00, 12.50, 54.50, 0.01, 0.03
2015-11-10 5:39:57, 625.00, 12.50, 54.50, 0.13, 0.04
2015-11-10 5:49:59, 629.88, 12.99, 55.38, 0.05, 0.04
2015-11-10 6:000:00, 634.77, 13.48, 56.26, 0.02, 0.04
2015-11-10 6:10:01, 625.00, 12.50, 54.50, 0.00, 0.03
2015-11-10 6:20:02, 629.88, 12.99, 55.38, 0.01, 0.03
2015-11-10 6:30:03, 625.00, 12.50, 54.50, 0.04, 0.03
2015-11-10 6:40:04, 629.88, 12.99, 55.38, 0.03, 0.03
2015-11-10 6:50:06, 629.88, 12.99, 55.38, 0.10, 0.04
2015-11-10 7:000:07, 625.00, 12.50, 54.50, 0.04, 0.04
2015-11-10 7:10:09, 625.00, 12.50, 54.50, 0.02, 0.04
2015-11-10 7:20:10, 625.00, 12.50, 54.50, 0.04, 0.04
2015-11-10 7:30:12, 610.35, 11.04, 51.86, 0.00, 0.03
2015-11-10 7:40:13, 625.00, 12.50, 54.50, 0.03, 0.03
2015-11-10 7:50:14, 634.77, 13.48, 56.26, 0.02, 0.03
2015-11-10 8:000:16, 620.12, 12.01, 53.62, 0.00, 0.03
2015-11-10 8:10:17, 634.77, 13.48, 56.26, 0.00, 0.03
2015-11-10 8:20:18, 620.12, 12.01, 53.62, 0.03, 0.03
2015-11-10 8:30:19, 629.88, 12.99, 55.38, 0.06, 0.03
2015-11-10 8:40:20, 625.00, 12.50, 54.50, 0.06, 0.03
2015-11-10 8:50:22, 629.88, 12.99, 55.38, 0.04, 0.03
2015-11-10 9:000:22, 615.23, 11.52, 52.74, 0.08, 0.04
2015-11-10 9:10:23, 620.12, 12.01, 53.62, 0.15, 0.05
2015-11-10 9:20:24, 629.88, 12.99, 55.38, 0.07, 0.05
2015-11-10 9:30:25, 634.77, 13.48, 56.26, 0.03, 0.05
2015-11-10 9:40:27, 620.12, 12.01, 53.62, 0.03, 0.05
2015-11-10 9:50:28, 634.77, 13.48, 56.26, 0.01, 0.04
2015-11-10 10:000:29, 644.53, 14.45, 58.02, 0.03, 0.04
2015-11-10 10:10:31, 639.65, 13.96, 57.14, 0.01, 0.04
2015-11-10 10:20:31, 654.30, 15.43, 59.77, 0.01, 0.04
2015-11-10 10:30:32, 659.18, 15.92, 60.65, 0.01, 0.03
2015-11-10 10:40:34, 649.41, 14.94, 58.89, 0.02, 0.03
2015-11-10 10:50:35, 644.53, 14.45, 58.02, 0.08, 0.04
2015-11-10 11:000:37, 659.18, 15.92, 60.65, 0.04, 0.04
2015-11-10 11:10:38, 659.18, 15.92, 60.65, 0.03, 0.04
2015-11-10 11:20:38, 664.06, 16.41, 61.53, 0.09, 0.04
2015-11-10 11:30:39, 668.95, 16.89, 62.41, 0.03, 0.04
2015-11-10 11:40:40, 654.30, 15.43, 59.77, 0.06, 0.04
2015-11-10 11:50:41, 683.59, 18.36, 65.05, 0.01, 0.04
2015-11-10 12:000:42, 678.71, 17.87, 64.17, 0.08, 0.04
