Group,Hour,Day,PM_mean,PM_sd,Time,,,,
TEAM2,8,11/6/2015,0.015,0.044572039,11/6/2015 8:31,,,,
TEAM2,8,11/7/2015,0,0.01602082,11/7/2015 8:32,,,,
TEAM2,8,11/8/2015,0.06,0.020736441,11/8/2015 8:29,,,,
TEAM2,8,11/9/2015,0.03,0.017224014,11/9/2015 8:26,,,,
TEAM2,8,11/10/2015,0,0.032093613,11/10/2015 8:25,,,,
TEAM2,9,11/4/2015,0.08,0.025033311,11/4/2015 9:34,,,,
TEAM2,9,11/5/2015,0.025,0.029495762,11/5/2015 9:29,,,,
TEAM2,9,11/6/2015,0,0.013291601,11/6/2015 9:31,,,,
TEAM2,9,11/7/2015,0.015,0.037771241,11/7/2015 9:33,,,,
TEAM2,9,11/8/2015,0.07,0.025819889,11/8/2015 9:25,,,,
TEAM2,9,11/9/2015,0.015,0.012110601,11/9/2015 9:26,,,,
TEAM2,9,11/10/2015,0,0.025819889,11/10/2015 9:25,,,,
TEAM2,10,11/4/2015,0.05,0.045350487,11/4/2015 10:34,,,,
TEAM2,10,11/5/2015,0.03,0.024013885,11/5/2015 10:29,,,,
TEAM2,10,11/6/2015,0,0,11/6/2015 10:31,,,,
TEAM2,10,11/7/2015,0.005,0.012649111,11/7/2015 10:33,,,,
TEAM2,10,11/8/2015,0.045,0.03060501,11/8/2015 10:25,,,,
TEAM2,10,11/9/2015,0.03,0.024289916,11/9/2015 10:26,,,,
TEAM2,10,11/10/2015,0,0.0083666,11/10/2015 10:25,,,,
TEAM2,11,11/4/2015,0.11,0.023166067,11/4/2015 11:34,,,,
TEAM2,11,11/5/2015,0.02,0.034448028,11/5/2015 11:29,,,,
TEAM2,11,11/6/2015,0.015,0.016329932,11/6/2015 11:31,,,,
TEAM2,11,11/7/2015,0,0.004082483,11/7/2015 11:33,,,,
TEAM2,11,11/8/2015,0.05,0.02228602,11/8/2015 11:25,,,,
TEAM2,11,11/9/2015,0.02,0.013291601,11/9/2015 11:26,,,,
TEAM2,11,11/10/2015,0.02,0.022173558,11/10/2015 11:15,,,,
TEAM2,12,11/4/2015,0.035,0.014719601,11/4/2015 12:34,,,,
TEAM2,12,11/5/2015,0.01,0.024013885,11/5/2015 12:29,,,,
TEAM2,12,11/6/2015,0,0.024494897,11/6/2015 12:31,,,,
TEAM2,12,11/7/2015,0,0.004082483,11/7/2015 12:33,,,,
TEAM2,12,11/8/2015,0.055,0.027386128,11/8/2015 12:25,,,,
TEAM2,12,11/9/2015,0.02,0.024013885,11/9/2015 12:26,,,,
TEAM2,13,11/4/2015,0.07,0.050299105,11/4/2015 13:29,,,,
TEAM2,13,11/5/2015,0.01,0.013291601,11/5/2015 13:29,,,,
TEAM2,13,11/6/2015,0.03,0.020655911,11/6/2015 13:31,,,,
TEAM2,13,11/7/2015,0,0.0083666,11/7/2015 13:33,,,,
TEAM2,13,11/8/2015,0.05,0.016431677,11/8/2015 13:25,,,,
TEAM2,13,11/9/2015,0.015,0.035449495,11/9/2015 13:27,,,,
TEAM2,14,11/4/2015,0.11,0.035777088,11/4/2015 14:25,,,,
TEAM2,14,11/5/2015,0.025,0.020736441,11/5/2015 14:29,,,,
TEAM2,14,11/6/2015,0.01,0.011690452,11/6/2015 14:31,,,,
TEAM2,14,11/7/2015,0,0,11/7/2015 14:33,,,,
TEAM2,14,11/8/2015,0.04,0.011690452,11/8/2015 14:25,,,,
TEAM2,14,11/9/2015,0.025,0.030983867,11/9/2015 14:27,,,,
TEAM2,15,11/4/2015,0.07,0.023664319,11/4/2015 15:25,,,,
TEAM2,15,11/5/2015,0.025,0.01602082,11/5/2015 15:29,,,,
TEAM2,15,11/6/2015,0.045,0.022509257,11/6/2015 15:31,,,,
TEAM2,15,11/7/2015,0,0,11/7/2015 15:33,,,,
TEAM2,15,11/8/2015,0.04,0.028047579,11/8/2015 15:25,,,,
TEAM2,15,11/9/2015,0.055,0.034448028,11/9/2015 15:27,,,,
TEAM2,16,11/4/2015,0.115,0.062849025,11/4/2015 16:26,,,,
TEAM2,16,11/5/2015,0,0.01602082,11/5/2015 16:29,,,,
TEAM2,16,11/6/2015,0.02,0.037638633,11/6/2015 16:31,,,,
TEAM2,16,11/7/2015,0,0.024013885,11/7/2015 16:33,,,,
TEAM2,16,11/8/2015,0.05,0.025298221,11/8/2015 16:25,,,,
TEAM2,16,11/9/2015,0.055,0.019407902,11/9/2015 16:27,,,,
TEAM2,17,11/4/2015,0.09,0.054283208,11/4/2015 17:27,,,,
TEAM2,17,11/5/2015,0,0.026583203,11/5/2015 17:29,,,,
TEAM2,17,11/6/2015,0,0.02,11/6/2015 17:31,,,,
TEAM2,17,11/7/2015,0.02,0.02228602,11/7/2015 17:33,,,,
TEAM2,17,11/8/2015,0.025,0.027325202,11/8/2015 17:25,,,,
TEAM2,17,11/9/2015,0.03,0.02228602,11/9/2015 17:27,,,,
TEAM2,18,11/4/2015,0.25,0.156673759,11/4/2015 18:27,,,,
TEAM2,18,11/5/2015,0.02,0.027325202,11/5/2015 18:29,,,,
TEAM2,18,11/6/2015,0.02,0.025819889,11/6/2015 18:32,,,,
TEAM2,18,11/7/2015,0.075,0.076528862,11/7/2015 18:33,,,,
TEAM2,18,11/8/2015,0.035,0.017511901,11/8/2015 18:25,,,,
TEAM2,18,11/9/2015,0.06,0.035590261,11/9/2015 18:27,,,,
TEAM2,19,11/5/2015,0.23,0.128957357,11/4/2015 19:27,,,,
TEAM2,19,11/6/2015,0.035,0.038297084,11/5/2015 19:29,,,,
TEAM2,19,11/7/2015,0,0.036009258,11/6/2015 19:32,,,,
TEAM2,19,11/8/2015,0.16,0.076876524,11/7/2015 19:33,,,,
TEAM2,19,11/9/2015,0.07,0.023166067,11/8/2015 19:25,,,,
TEAM2,19,11/10/2015,0.07,0.044572039,11/9/2015 19:27,,,,
TEAM2,20,11/5/2015,0.195,0.09591663,11/4/2015 20:28,,,,
TEAM2,20,11/6/2015,0.005,0.038815804,11/5/2015 20:30,,,,
TEAM2,20,11/7/2015,0,0,11/6/2015 20:32,,,,
TEAM2,20,11/8/2015,0,0.0083666,11/7/2015 20:34,,,,
TEAM2,20,11/9/2015,0.04,0.024289916,11/8/2015 20:25,,,,
TEAM2,20,11/10/2015,0.045,0.019663842,11/9/2015 20:27,,,,
TEAM2,21,11/5/2015,0.06,0.028106939,11/4/2015 21:28,,,,
TEAM2,21,11/6/2015,0.01,0.026832816,11/5/2015 21:30,,,,
TEAM2,21,11/7/2015,0.005,0.015491933,11/6/2015 21:32,,,,
TEAM2,21,11/8/2015,0.005,0.008164966,11/7/2015 21:34,,,,
TEAM2,21,11/9/2015,0.035,0.012649111,11/8/2015 21:25,,,,
TEAM2,21,11/10/2015,0.15,0.080911474,11/9/2015 21:27,,,,
TEAM2,22,11/4/2015,0.16,0.025166115,11/3/2015 22:48,,,,
TEAM2,22,11/5/2015,0.25,0.091578746,11/4/2015 22:28,,,,
TEAM2,22,11/6/2015,0.005,0.005477226,11/5/2015 22:30,,,,
TEAM2,22,11/7/2015,0,0.012247449,11/6/2015 22:32,,,,
TEAM2,22,11/8/2015,0.025,0.102111051,11/7/2015 22:34,,,,
TEAM2,22,11/9/2015,0.035,0.024494897,11/8/2015 22:25,,,,
TEAM2,22,11/10/2015,0.065,0.026645825,11/9/2015 22:27,,,,
TEAM2,23,11/4/2015,0.135,0.078676553,11/3/2015 23:33,,,,
TEAM2,23,11/5/2015,0.145,0.055015149,11/4/2015 23:28,,,,
TEAM2,23,11/6/2015,0.005,0.024221203,11/5/2015 23:30,,,,
TEAM2,23,11/7/2015,0,0.04472136,11/6/2015 23:33,,,,
TEAM2,23,11/8/2015,0.13,0.063770422,11/7/2015 23:34,,,,
TEAM2,23,11/9/2015,0.02,0.013784049,11/8/2015 23:26,,,,
TEAM2,23,11/10/2015,0.02,0.028809721,11/9/2015 23:22,,,,
TEAM3,0,11/4/2015,1.005,0.275711202,11/4/2015 0:34,,,,
TEAM3,0,11/6/2015,0.3,0.069113433,11/6/2015 0:27,,,,
TEAM3,0,11/7/2015,0.37,0.073120904,11/7/2015 0:30,,,,
TEAM3,0,11/9/2015,0.025,0.016329932,11/9/2015 0:31,,,,
TEAM3,1,11/4/2015,0.95,0.291387485,11/4/2015 1:34,,,,
TEAM3,1,11/6/2015,0.26,0.0332666,11/6/2015 1:27,,,,
TEAM3,1,11/7/2015,0.28,0.073120904,11/7/2015 1:30,,,,
TEAM3,1,11/9/2015,0.045,0.024289916,11/9/2015 1:31,,,,
TEAM3,2,11/4/2015,0.755,0.2568787,11/4/2015 2:34,,,,
TEAM3,2,11/6/2015,0.29,0.06615638,11/6/2015 2:27,,,,
TEAM3,2,11/7/2015,0.25,0.14787382,11/7/2015 2:30,,,,
TEAM3,2,11/9/2015,0.015,0.008164966,11/9/2015 2:31,,,,
TEAM3,3,11/4/2015,0.79,0.152708873,11/4/2015 3:29,,,,
TEAM3,3,11/6/2015,0.155,0.039707262,11/6/2015 3:27,,,,
TEAM3,3,11/7/2015,0.21,0.057763887,11/7/2015 3:30,,,,
TEAM3,3,11/9/2015,0.03,0.009831921,11/9/2015 3:31,,,,
TEAM3,4,11/4/2015,0.565,0.139056343,11/4/2015 4:25,,,,
TEAM3,4,11/6/2015,0.105,0.034058773,11/6/2015 4:28,,,,
TEAM3,4,11/7/2015,0.285,0.103810725,11/7/2015 4:31,,,,
